index;Mean
12 - WONDER ;2.6666666666666665
12 - TRANSCENDENCE ;1.3333333333333333
12 - NOSTALGIA;2.0952380952380953
12 - TENDERNESS;2.4761904761904763
12 - PEACEFULNESS;2.3333333333333335
12 - JOY ;2.619047619047619
12 - POWER;1.4285714285714286
12 - TENSION ;1.5238095238095237
12 - SADNESS ;1.9523809523809523
13 - WONDER ;4.0
13 - TRANSCENDENCE ;4.0476190476190474
13 - NOSTALGIA;3.7142857142857144
13 - TENDERNESS;1.9523809523809523
13 - PEACEFULNESS;3.8095238095238093
13 - JOY ;1.9047619047619047
13 - POWER;2.7142857142857144
13 - TENSION ;1.3333333333333333
13 - SADNESS ;2.0
14 - WONDER ;2.857142857142857
14 - TRANSCENDENCE ;2.3333333333333335
14 - NOSTALGIA;3.619047619047619
14 - TENDERNESS;1.9523809523809523
14 - PEACEFULNESS;2.761904761904762
14 - JOY ;1.0
14 - POWER;2.3333333333333335
14 - TENSION ;3.0
14 - SADNESS ;5.904761904761905
15 - WONDER ;3.5714285714285716
15 - TRANSCENDENCE ;4.0476190476190474
15 - NOSTALGIA;2.5714285714285716
15 - TENDERNESS;2.1904761904761907
15 - PEACEFULNESS;1.1428571428571428
15 - JOY ;7.9523809523809526
15 - POWER;5.0
15 - TENSION ;2.238095238095238
15 - SADNESS ;0.42857142857142855
16 - WONDER ;4.714285714285714
16 - TRANSCENDENCE ;3.380952380952381
16 - NOSTALGIA;3.7142857142857144
16 - TENDERNESS;3.761904761904762
16 - PEACEFULNESS;3.6666666666666665
16 - JOY ;4.190476190476191
16 - POWER;1.619047619047619
16 - TENSION ;1.1904761904761905
16 - SADNESS ;1.2857142857142858
17 - WONDER ;2.761904761904762
17 - TRANSCENDENCE ;4.523809523809524
17 - NOSTALGIA;1.2857142857142858
17 - TENDERNESS;0.7619047619047619
17 - PEACEFULNESS;0.6190476190476191
17 - JOY ;0.23809523809523808
17 - POWER;6.380952380952381
17 - TENSION ;6.809523809523809
17 - SADNESS ;4.0
18 - WONDER ;2.4761904761904763
18 - TRANSCENDENCE ;1.8095238095238095
18 - NOSTALGIA;6.761904761904762
18 - TENDERNESS;4.0476190476190474
18 - PEACEFULNESS;6.619047619047619
18 - JOY ;2.0476190476190474
18 - POWER;0.7619047619047619
18 - TENSION ;0.8095238095238095
18 - SADNESS ;3.2857142857142856
19 - WONDER ;3.5238095238095237
19 - TRANSCENDENCE ;4.523809523809524
19 - NOSTALGIA;1.2857142857142858
19 - TENDERNESS;1.0
19 - PEACEFULNESS;0.8095238095238095
19 - JOY ;2.1904761904761907
19 - POWER;4.666666666666667
19 - TENSION ;5.285714285714286
19 - SADNESS ;2.2857142857142856
20 - WONDER ;4.523809523809524
20 - TRANSCENDENCE ;4.380952380952381
10 - NOSTALGIA.1;5.714285714285714
20 - TENDERNESS;3.619047619047619
20 - PEACEFULNESS;4.761904761904762
20 - JOY ;2.0476190476190474
20 - POWER;3.1904761904761907
20 - TENSION ;1.6666666666666667
20 - SADNESS ;3.5714285714285716
21 - WONDER ;3.0952380952380953
21 - TRANSCENDENCE ;4.761904761904762
21 - NOSTALGIA;2.380952380952381
21 - TENDERNESS;1.0
21 - PEACEFULNESS;0.9523809523809523
21 - JOY ;2.4761904761904763
21 - POWER;5.714285714285714
21 - TENSION ;6.190476190476191
21 - SADNESS ;2.5714285714285716
22 - WONDER ;3.3333333333333335
22 - TRANSCENDENCE ;3.142857142857143
22- NOSTALGIA;1.4761904761904763
22 - TENDERNESS;1.7142857142857142
22 - PEACEFULNESS;1.0
22 - JOY ;2.0952380952380953
22 - POWER;5.095238095238095
22 - TENSION ;3.5714285714285716
22 - SADNESS ;2.0952380952380953
23 - WONDER ;5.238095238095238
23 - TRANSCENDENCE ;4.285714285714286
23 - NOSTALGIA;3.761904761904762
23 - TENDERNESS;4.095238095238095
23 - PEACEFULNESS;1.7619047619047619
23 - JOY ;5.142857142857143
23 - POWER;3.0
23 - TENSION ;1.6666666666666667
23 - SADNESS ;0.7142857142857143
24 - WONDER ;1.7142857142857142
24 - TRANSCENDENCE ;1.4285714285714286
24 - NOSTALGIA;3.142857142857143
24 - TENDERNESS;1.8095238095238095
24 - PEACEFULNESS;3.619047619047619
24 - JOY ;2.4761904761904763
24 - POWER;1.380952380952381
24 - TENSION ;1.3333333333333333
24 - SADNESS ;1.2380952380952381
25 - WONDER ;4.428571428571429
25 - TRANSCENDENCE ;4.761904761904762
25 - NOSTALGIA;1.9047619047619047
25 - TENDERNESS;1.1904761904761905
25 - PEACEFULNESS;0.8571428571428571
25 - JOY ;6.857142857142857
25 - POWER;5.571428571428571
25 - TENSION ;3.9523809523809526
25 - SADNESS ;0.7619047619047619
26 - WONDER ;2.238095238095238
26 - TRANSCENDENCE ;2.619047619047619
26 - NOSTALGIA;2.0476190476190474
26 - TENDERNESS;1.3333333333333333
26 - PEACEFULNESS;1.0
26 - JOY ;3.0952380952380953
26 - POWER;2.619047619047619
26 - TENSION ;2.9047619047619047
26 - SADNESS ;1.3333333333333333
27 - WONDER ;1.4761904761904763
27 - TRANSCENDENCE ;1.5714285714285714
27 - NOSTALGIA;2.9523809523809526
27 - TENDERNESS;1.1904761904761905
27 - PEACEFULNESS;1.4761904761904763
27 - JOY ;0.6666666666666666
27 - POWER;1.1904761904761905
27 - TENSION ;4.285714285714286
27 - SADNESS ;4.190476190476191
28 - WONDER ;4.0
28 - TRANSCENDENCE ;3.380952380952381
28 - NOSTALGIA;2.6666666666666665
28 - TENDERNESS;3.1904761904761907
28 - PEACEFULNESS;2.5238095238095237
28 - JOY ;4.857142857142857
28 - POWER;1.380952380952381
28 - TENSION ;1.1904761904761905
28 - SADNESS ;1.0952380952380953
29 - WONDER ;4.523809523809524
29 - TRANSCENDENCE ;4.904761904761905
29 - NOSTALGIA;1.9047619047619047
29 - TENDERNESS;1.8095238095238095
29 - PEACEFULNESS;1.0
29 - JOY ;3.4761904761904763
29 - POWER;5.428571428571429
29 - TENSION ;4.190476190476191
29 - SADNESS ;0.8571428571428571
30 - WONDER ;4.428571428571429
30 - TRANSCENDENCE ;3.2857142857142856
30 - NOSTALGIA;1.8571428571428572
30 - TENDERNESS;2.2857142857142856
30 - PEACEFULNESS;1.0476190476190477
30 - JOY ;5.238095238095238
30 - POWER;3.8095238095238093
30 - TENSION ;2.0476190476190474
30 - SADNESS ;0.7619047619047619
Confidence level:;4.0
